CODIGO,DEPARTAMENTO
1,Petróleo Y Derivado
5,Antioquia
8,Atlántico
11,Santafé De Bogotá
13,Bolívar
15,Boyacá
17,Caldas
18,Caquetá
19,Cauca
20,Cesar
23,Córdoba
25,Cundinamarca
27,Choco
41,Huila
44,Guajira
47,Magdalena
50,Meta
52,Nariño
54,Norte De Santander
63,Quindío
66,Risaralda
68,Santander
70,Sucre
73,Tolima
76,Valle Del Cauca
81,Arauca
85,Casanare
86,Putumayo
88,San Andrés
91,Amazonas
94,Guainía
95,Guaviare
97,Vaupés
99,Vichada
