CODIGO,PAIS
907,ZFP Centro Logístico del Pacífico CELPA
911,ZFP Barranquilla
912,ZFP Buenaventura
913,ZFP Palmaseca - Cali
914,ZFP Cúcuta
915,ZFP Santa Marta
916,ZFP Cartagena
917,ZFP Rionegro - Medellín
918,ZFP Candelaria - Cartagena
919,ZF de Bogotá
920,ZF de Pacifico - Cali
921,ZF de Barú Beach Resort
922,ZF de Pozos Colorados
923,ZF de Euro Caribe de Indias
924,ZF del Eje Cafetero
925,ZFPE Cerveceria del Valle
926,ZFP Agroindustrial Magdalena Medio
927,ZFP de Bienes y Servicios Ciudadela Salud
928,ZFP La Cayena
929,ZFP Internacional del Atlántico
930,ZFPE BIO D Facatativa
931,ZFPE Biocombustible Sostenibles del Caribe
932,ZFPE Maquilagro
933,ZFPE Agroindustrias del Cauca
934,ZFP Parque Industrial Dexton
935,ZFPE Argos S.A
936,ZFPE Gyplac S.A
937,ZFPE KC Antioquia G.L
938,ZFP Plic
939,ZFP Intexzona
940,ZFP Tayrona S.A.
941,ZFP de Urabá
942,ZFPE Corferias
943,ZFP Las América
944,ZFPE Ecodiesel
945,ZFPE Contac Center Estrategia
946,ZFPE Paul Calley
947,ZFPE Siemens
948,ZFPE Pepsico
949,ZFPE Acerías Paz del Río
950,ZFPE de Servicios de Marinilla
951,ZFPE Vidrio Andino
953,ZFPE Refineria de Cartagena
954,ZFP de Occidente
955,ZFPE Sociedad Portuaria de Santa Marta
956,"ZFPE de Servicios Terminal de Contenedores De Cartagena ""CONTECAR"""
957,ZFPE Colombina del Cauca
958,ZFPE Termoflores
959,ZFPE Papelfibra
960,ZFP de Tocancipa
961,ZFPE Telemark Spain
962,ZFPE San Vicente de Paul
963,ZFPE Ceramicas San Lorenzo
964,ZFPE Papeles del Cauca
965,ZFPE Clinica Portoazul
966,ZFP Santander
967,ZFPE Protisa
968,ZFPE Praxair Gases industriales
969,ZFPE Cencauca
970,ZFPE Paspenta
971,ZFPE Renovables
972,ZFPE Econtac
973,ZFPE Clinica Nogales
974,ZFP Metropolitana
975,ZFPE Agrosolera
976,ZFPE Bioenergy
977,ZFP Puerta de Las Americas
978,ZFPE Sociedad Medica de Sabaneta
979,ZFPE Productos Familia Cajica
980,ZFPE Sociedad Portuaria de Barranquilla
981,ZFPE Fosunab
982,ZFPE Alimentos Nariño
983,ZFPE Convergys
984,ZFPE Procesadora de Aceite Ororojo
985,ZFP Internacional de Pereira
986,ZFPE Clinica Megacentro Pinares
987,ZFP Brisa
988,ZFPE Extractora Loma Fresca
989,ZFP Parque Central
990,ZFPE Agroindustrias Biocafe
991,ZFP Conjunto Industrial Parque Sur
992,ZFPE de Servicios Celta
993,ZFPE Habla Call Center
994,ZFP GEA
996,ZFPE Compañía Operadora Clinica Hispanoamericana
997,ZFP SurColombiana
998,ZFPE Sociedad Portuaria Regional de Cartagena
999,No Declarados































































































































































































































































